fdcId,portion,g_weight
173239,1 slice,117
173240,1 slice,117
173241,1 slice,29
173242,1 slice,29
173243,1 slice,67
173244,1 slice,67
174079,1 cookie,12.2
174080,1 cookie,12.2
174081,1 slice,29
174101,1 slice,29
174107,1 slice,29
174900,1 bagel,81
174901,1 bagel,81
174902,1 slice,29
174903,1 slice,29
174904,1 slice,29
174905,1 slice,29
174906,1 slice,29
174907,1 slice,29
174908,1 slice,29
174909,1 slice,29
174910,1 slice,29
174911,1 slice,29
174912,1 slice,29
174914,1 slice,29
174915,1 slice,29
174916,1 slice,29
174917,1 slice,29
174918,1 slice,29
174919,1 slice,29
174920,1 slice,29
174922,1 slice,29
174923,1 slice,29
174925,1 slice,29
174926,1 slice,29
174927,1 slice,29
174928,0.5 cup,54
174929,1 slice,29
174930,0.5 cup,100
174931,1 slice,29
174932,1 slice,67
174933,1 slice,67
174934,1 slice,67
174935,1 slice,67
174936,1 slice,67
174937,1 slice,67
174938,1 slice,67
174939,1 slice,67
174940,1 slice,67
174941,1 slice,67
174942,1 slice,67
174943,1 slice,67
174945,1 slice,67
174946,1 slice,67
174947,1 slice,67
174948,1 cookie,12.2
174949,1 cookie,12.2
174950,1 cookie,12.2
174951,1 cookie,12.2
174952,1 cookie,12.2
174953,1 cookie,12.2
174954,1 cookie,12.2
174955,1 cookie,12.2
174956,1 cookie,12.2
174958,1 cookie,12.2
174959,1 ladyfinger,11
174960,1 cookie,12.2
174961,1 cookie,12.2
174962,1 cookie,12.2
174964,1 cookie,12.2
174965,1 cookie,12.2
174966,1 cookie,12.2
174968,1 cookie,12.2
174969,1 cookie,12.2
174970,1 cookie,12.2
174971,1 cookie,12.2
174972,1 cookie,12.2
174973,1 cookie,12.2
174974,1 cookie,12.2
174975,5 crackers,36.25
174976,5 crackers,36.25
174977,5 crackers,36.25
174978,5 crackers,36.25
174979,5 crackers,36.25
174980,5 crackers,36.25
174981,5 crackers,36.25
174982,5 crackers,36.25
174983,5 crackers,36.25
174984,5 crackers,36.25
174985,5 crackers,36.25
174986,1 shell,66
174987,1 croissant,57
174988,1 croissant,57
174989,1 croissant,57
174991,1 doughnut,45
174992,1 doughnut,45
174993,1 doughnut,45
174994,1 muffin,66
174995,1 muffin,66
174996,1 muffin,66
174997,1 muffin,66
174998,1 slice,65
174999,1 hush puppy,22
175000,1 cone,4
175001,1 cone,10
175002,1 muffin,66
175003,1 muffin,66
175004,1 muffin,66
175005,1 muffin,66
175006,1 pancake,77
175007,1 pancake,77
175008,1 pancake,77
175009,1 pancake,77
175010,1 pancake,77
175011,1 slice,117
175012,1 slice,117
175013,1 slice,117
175015,1 slice,117
175016,1 slice,117
175017,1 slice,117
175018,1 slice,117
175019,1 slice,117
175020,1 slice,117
175021,1 slice,117
175022,1/16 pie crust,12.38
175023,1/16 pie crust,12.38
175024,1/16 pie crust,12.38
175025,1/16 pie crust,12.38
175026,1/16 pie crust,12.38
175027,1 slice,29
175028,1 slice,29
175029,1 slice,29
175030,1 slice,29
175031,1 slice,29
175032,1 piece,71
175033,1 roll,66
175034,1 roll,66
175036,1 slice,29
175037,1 slice,29
175038,1 waffle,75
175039,1 waffle,75
175042,1 tsp,4.6
175043,1 tsp,4.6
175044,1 slice,29
175045,1 muffin,66
175046,1 muffin,66
175047,1 pancake,77
175048,1 waffle,75
175049,1 bagel,81
175050,1 bagel,81
175051,1 bagel,81
175052,1 slice,67
175053,1 slice,67
175054,1 slice,67
175055,1 slice,67
175056,5 crackers,36.25
175057,5 crackers,36.25
175058,5 crackers,36.25
175059,5 crackers,36.25
175060,5 crackers,36.25
175061,1 pastry,71
175062,1 doughnut,45
175063,1 muffin,57
175064,1 slice,117
175065,1/16 pie crust,12.38
175066,1 oz,28.35
175067,1 shell,13
175068,5 crackers,36.25
168605,1 tbsp,12.8
168606,1 tbsp,12.8
168607,3 oz,85.05
168609,3 oz,85.05
168610,3 oz,85.05
168611,3 oz,85.05
168612,3 oz,85.05
168613,3 oz,85.05
168614,3 oz,85.05
168615,3 oz,85.05
168616,3 oz,85.05
168617,3 oz,85.05
168618,3 oz,85.05
168619,3 oz,85.05
168620,3 oz,85.05
168621,3 oz,85.05
168623,3 oz,85.05
168626,3 oz,85.05
168627,3 oz,85.05
168628,3 oz,85.05
168629,3 oz,85.05
168630,3 oz,85.05
168631,3 oz,85.05
168632,3 oz,85.05
168633,3 oz,85.05
168634,3 oz,85.05
168635,3 oz,85.05
168636,3 oz,85.05
168637,3 oz,85.05
168638,3 oz,85.05
168639,3 oz,85.05
168640,3 oz,85.05
168641,3 oz,85.05
168642,3 oz,85.05
168643,3 oz,85.05
168644,3 oz,85.05
168645,3 oz,85.05
168646,3 oz,85.05
168647,3 oz,85.05
168648,3 oz,85.05
168649,3 oz,85.05
168650,3 oz,85.05
168651,3 oz,85.05
168652,3 oz,85.05
168653,3 oz,85.05
168654,3 oz,85.05
168655,3 oz,85.05
168656,3 oz,85.05
168657,3 oz,85.05
168658,3 oz,85.05
168659,3 oz,85.05
168660,3 oz,85.05
168661,3 oz,85.05
168662,3 oz,85.05
168663,3 oz,85.05
168664,3 oz,85.05
168665,3 oz,85.05
168666,3 oz,85.05
168667,3 oz,85.05
168668,3 oz,85.05
168669,3 oz,85.05
168670,3 oz,85.05
168671,3 oz,85.05
168672,3 oz,85.05
168673,3 oz,85.05
168674,3 oz,85.05
168675,3 oz,85.05
168676,3 oz,85.05
168677,3 oz,85.05
168678,3 oz,85.05
168679,3 oz,85.05
168680,3 oz,85.05
168681,3 oz,85.05
168682,3 oz,85.05
168683,3 oz,85.05
168684,3 oz,85.05
168685,3 oz,85.05
168686,3 oz,85.05
168687,3 oz,85.05
168688,3 oz,85.05
168689,3 oz,85.05
168690,3 oz,85.05
168691,3 oz,85.05
168692,3 oz,85.05
168693,3 oz,85.05
168694,3 oz,85.05
168695,3 oz,85.05
168696,3 oz,85.05
168697,3 oz,85.05
168698,3 oz,85.05
168699,3 oz,85.05
168700,3 oz,85.05
168701,3 oz,85.05
168702,3 oz,85.05
168703,3 oz,85.05
168704,3 oz,85.05
168705,3 oz,85.05
168706,3 oz,85.05
168707,3 oz,85.05
168708,3 oz,85.05
168709,3 oz,85.05
168710,3 oz,85.05
168711,3 oz,85.05
168712,3 oz,85.05
168713,3 oz,85.05
168714,3 oz,85.05
168715,3 oz,85.05
168716,3 oz,85.05
168717,3 oz,85.05
168718,3 oz,85.05
168719,3 oz,85.05
168720,3 oz,85.05
168721,3 oz,85.05
168722,3 oz,85.05
168723,3 oz,85.05
168724,3 oz,85.05
